genotype	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
WATDE0158	0.0312147	-0.00693256	-0.016728	0.0335199	0.00057804	-0.00252935	0.0226923	-0.0394466	-0.0032287	0.0224842
WATDE0159	0.0205416	0.0460751	-0.00421464	-0.0177009	0.00218556	-0.0128948	-0.00280067	-0.0139372	0.00342799	0.00884625
WATDE0160	0.0202065	0.0461767	-0.00790842	-0.0230154	-0.000174025	-0.00856193	-0.00677389	-0.0171432	0.00530707	0.0142387
WATDE0162	0.021355	0.0491885	-0.00774993	-0.0240152	0.00258149	-0.00975154	-0.0031721	-0.0183336	0.00843205	0.0114195
WATDE0164	0.0212334	0.0491253	-0.00773722	-0.0238868	0.00254621	-0.00979985	-0.00313673	-0.0183248	0.00836143	0.0113838
WATDE0165	0.0226892	0.0429375	-0.0116198	-0.0254891	-0.00104307	-0.00293707	-0.00803725	-0.0321022	-0.00749289	0.0277073
WATDE0168	0.0287904	0.0231791	-0.0362737	0.0081525	-0.00707965	0.00721405	-0.0296149	-0.101541	-0.0159842	0.0242264
WATDE0169	0.0321471	0.00477721	-0.0249991	0.0435309	-0.00353107	0.0159394	-0.0427986	0.0208877	-0.0154106	0.010144
WATDE0171	0.0138522	-0.005911	0.0117174	-0.036084	-0.0233774	-0.0263227	0.00599567	0.0193785	0.0139995	-0.00535529
WATDE0173	0.0274756	0.0251683	-0.0119558	0.0176643	-0.00134692	0.0101089	-0.019571	-0.0387289	0.0109593	-0.0640429
WATDE0174	0.0274123	0.0250459	-0.0118755	0.0176943	-0.00131195	0.0100819	-0.0194617	-0.0385742	0.0110086	-0.0638707
WATDE0175	0.0278073	0.0249773	-0.01202	0.0178939	-0.00125987	0.0104468	-0.0198158	-0.0386946	0.011128	-0.0645096
WATDE0176	0.0373252	0.0110079	-0.0227488	0.0269504	0.000487505	0.00641719	0.00542435	-0.127342	0.0198701	-0.0844206
WATDE0177	0.0260531	-0.0260088	0.0189359	0.00864207	-0.0104953	0.000595339	0.0300334	0.00576819	0.00965874	-0.0169006
WATDE0178	0.0331217	0.0246769	-0.0314926	0.0161242	-0.00123905	0.00680492	-0.0193446	-0.0745107	-0.00477944	-0.00347865
WATDE0180	0.0300445	-0.0428462	0.028333	0.0205694	-0.0175583	-0.0074686	0.0481141	-0.0227993	0.00147088	-0.0125608
